,name,min_salary,max_salary,currency,link,website
27,Кладовщик-комплектовщик,87500,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
28,Подсобный рабочий/Электрик,65000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
29,Разнорабочий,,50000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
30,Уборщик-разнорабочий в автосервис,,45000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
31,Грузчик / подсобный рабочий,50000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
32,Подсобный рабочий,,,,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
33,Грузчик-комплектовщик / Разнорабочий,50000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
34,Разнорабочий на завод бытовой техники,59800,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
35,Комплектовщик-работник склада,,70000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
36,Лифтер / Разнорабочий,,40000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
37,Разнорабочий с функцией водителя,57000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
38,Разнорабочий/Подсобный рабочий,40000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
39,Разнорабочий в офис,,35000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
40,Подсобный рабочий,35000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
41,Разнорабочий,40000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
42,Комплектовщик-складской рабочий,,77000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
43,Грузчик / Работник склада / Разнорабочий в ресторанный комплекс,,40000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
44,Разнорабочий в офис,,45000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
